county,state,id,price
Autauga County,Alabama,01001,161743
Baldwin County,Alabama,01003,234357
Barbour County,Alabama,01005,95277
Bibb County,Alabama,01007,98445
Blount County,Alabama,01009,135574
Bullock County,Alabama,01011,73847
Butler County,Alabama,01013,100739
Calhoun County,Alabama,01015,131040
Chambers County,Alabama,01017,101999
Cherokee County,Alabama,01019,129627
Chilton County,Alabama,01021,113827
Choctaw County,Alabama,01023,77839
Clarke County,Alabama,01025,118177
Clay County,Alabama,01027,113239
Cleburne County,Alabama,01029,122378
Coffee County,Alabama,01031,154838
Colbert County,Alabama,01033,129356
Conecuh County,Alabama,01035,85087
Coosa County,Alabama,01037,88238
Covington County,Alabama,01039,102525
Crenshaw County,Alabama,01041,85087
Cullman County,Alabama,01043,144543
Dale County,Alabama,01045,117651
Dallas County,Alabama,01047,87503
DeKalb County,Alabama,01049,121013
Elmore County,Alabama,01051,184355
Escambia County,Alabama,01053,104416
Etowah County,Alabama,01055,139964
Fayette County,Alabama,01057,92966
Franklin County,Alabama,01059,99794
Geneva County,Alabama,01061,104987
Greene County,Alabama,01063,86338
Hale County,Alabama,01065,95895
Henry County,Alabama,01067,123612
Houston County,Alabama,01069,161903
Jackson County,Alabama,01071,110193
Jefferson County,Alabama,01073,180341
Lamar County,Alabama,01075,84982
Lauderdale County,Alabama,01077,162231
Lawrence County,Alabama,01079,118048
Lee County,Alabama,01081,194385
Limestone County,Alabama,01083,201480
Lowndes County,Alabama,01085,73281
Macon County,Alabama,01087,84877
Madison County,Alabama,01089,212899
Marengo County,Alabama,01091,88659
Marion County,Alabama,01093,97483
Marshall County,Alabama,01095,142442
Mobile County,Alabama,01097,146292
Monroe County,Alabama,01099,107357
Montgomery County,Alabama,01101,140596
Morgan County,Alabama,01103,161956
Perry County,Alabama,01105,68280
Pickens County,Alabama,01107,100844
Pike County,Alabama,01109,126055
Randolph County,Alabama,01111,100949
Russell County,Alabama,01113,129208
Shelby County,Alabama,01117,243567
St. Clair County,Alabama,01115,174613
Sumter County,Alabama,01119,78154
Talladega County,Alabama,01121,125530
Tallapoosa County,Alabama,01123,114815
Tuscaloosa County,Alabama,01125,193080
Walker County,Alabama,01127,143849
Washington County,Alabama,01129,93596
Wilcox County,Alabama,01131,83406
Winston County,Alabama,01133,90444
Aleutians East Borough,Alaska,02013,123978
Aleutians West Census Area,Alaska,02016,288696
Anchorage Municipality,Alaska,02020,328723
Bethel Census Area,Alaska,02050,86443
Bristol Bay Borough,Alaska,02060,195221
Denali Borough,Alaska,02068,230585
Dillingham Census Area,Alaska,02070,189741
Fairbanks North Star Borough,Alaska,02090,274374
Haines Borough,Alaska,02100,262639
Juneau City and Borough,Alaska,02110,357665
Kenai Peninsula Borough,Alaska,02122,250438
Ketchikan Gateway Borough,Alaska,02130,299760
Kodiak Island Borough,Alaska,02150,291695
